callsign,airline,runway,atot,sid,sid_family,aircraft_type,wake,engine_class,track_start_time,track_end_time,start_from_thr_time,sep_is_first_departure_for_runway,thr_sid,thr_aircraft_type,thr_atot,thr_passes_thr_filter,thr_cross_time,thr_cross_lat,thr_cross_lon,thr_cross_alt_ft,thr_cross_ias_kt,thr_cross_heading_deg,thr_min_dist_thr_nm,thr_turned_before_thr,thr_turn_start_time,sep_leader,sep_atot_leader,sep_atot_follower,sep_leader_sid,sep_follower_sid,sep_leader_sid_family,sep_follower_sid_family,sep_leader_aircraft_type,sep_follower_aircraft_type,sep_leader_wake,sep_follower_wake,sep_leader_class,sep_follower_class,sep_same_sid_family,sep_radar_twr_time,sep_radar_tma_min_time,sep_twr_computable,sep_tma_computable,sep_computation_note,sep_radar_twr_nm,sep_radar_twr_dalt_ft,sep_radar_twr_loss,sep_radar_tma_min_nm,sep_radar_tma_dalt_ft,sep_radar_tma_loss,sep_wake_twr_required_nm,sep_wake_twr_required_s,sep_wake_twr_actual_nm,sep_wake_twr_actual_s,sep_wake_twr_loss,sep_wake_tma_required_nm,sep_wake_tma_actual_nm,sep_wake_tma_loss,sep_loa_required_nm,sep_loa_actual_nm,sep_loa_loss,turn_sid,turn_aircraft_type,turn_atot,turn_turn_start_time,turn_turn_start_lat,turn_turn_start_lon,turn_turn_start_x_m,turn_turn_start_y_m,turn_turn_start_alt_ft,turn_turn_start_ias_kt,turn_turn_start_roll_angle_deg,turn_turn_start_heading_deg,turn_turn_start_tta_deg,turn_turn_start_dist_thr_nm,turn_detection_method,turn_crosses_r234,turn_r234_cross_lat,turn_r234_cross_lon,nadp_sid,nadp_aircraft_type,nadp_wake,nadp_atot,nadp_ias_at_800ft,nadp_alt_at_800ft,nadp_ias_at_3000ft,nadp_alt_at_3000ft,nadp_delta_ias_kt,nadp_nadp,nadp_threshold_kt,nadp_time_at_800ft,nadp_time_at_3000ft
RYR57ZC,RYR,06R,2026-05-23T04:17:08,LARPA4R,MISMA_SID_G2,B738,M,R,2026-05-23T04:16:52,2026-05-23T04:19:37,2026-05-23T04:16:55,False,LARPA4R,B738,2026-05-23T04:17:08,True,2026-05-23T04:17:17.091191649,41.291993919965705,2.103350479800129,371.14323943046475,158.0,60.820312,0.013903162443293562,,,RYR32FE,2026-05-23T04:15:37,2026-05-23T04:17:08,AGENA1R,LARPA4R,MISMA_SID_G3,MISMA_SID_G2,B738,B738,M,M,R,R,False,2026-05-23T04:16:55,2026-05-23T04:16:52,True,True,,4.630645618809466,2288.524266666667,False,4.537630568344992,2137.939733333333,False,,,4.630645618809466,93.0,,,4.537630568344992,,3.0,4.630645618809466,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLG1510,VLG,06R,2026-05-23T04:18:28,DALIN1R,MISMA_SID_G3,A320,M,R,2026-05-23T04:18:12,2026-05-23T04:20:33,2026-05-23T04:18:17,False,DALIN1R,A320,2026-05-23T04:18:28,True,2026-05-23T04:18:37.347233553,41.2919826621167,2.103360231471603,588.4975579356267,157.0,61.171875,0.01466385195717538,,,RYR57ZC,2026-05-23T04:17:08,2026-05-23T04:18:28,LARPA4R,DALIN1R,MISMA_SID_G2,MISMA_SID_G3,B738,A320,M,M,R,R,False,2026-05-23T04:18:17,2026-05-23T04:18:12,True,True,,3.883396317357196,2003.3365333333345,False,3.749165440505671,1796.9456000000014,False,,,3.883396317357196,82.0,,,3.749165440505671,,3.0,3.883396317357196,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLG8FU,VLG,06R,2026-05-23T04:21:24,LOBAR1R,MISMA_SID_G1,A320,M,R,2026-05-23T04:21:08,2026-05-23T04:23:57,2026-05-23T04:21:12,False,LOBAR1R,A320,2026-05-23T04:21:24,True,2026-05-23T04:21:33.573524252,41.292190809568794,2.1032911070627116,483.41877706419916,162.0,58.710938,0.00178392723648208,,,VLG1510,2026-05-23T04:18:28,2026-05-23T04:21:24,DALIN1R,LOBAR1R,MISMA_SID_G3,MISMA_SID_G1,A320,A320,M,M,R,R,False,,,False,False,TWR no computable: precedente sin posicion en la primera deteccion del siguiente; TMA no computable: sin solape temporal dentro del filtro,,,False,,,,,,,175.0,,,,,3.0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYR73JP,RYR,06R,2026-05-23T04:23:05,AGENA1R,MISMA_SID_G3,B738,M,R,2026-05-23T04:22:48,2026-05-23T04:25:21,2026-05-23T04:22:54,False,AGENA1R,B738,2026-05-23T04:23:05,True,2026-05-23T04:23:14.464097459,41.29183164794028,2.103390627104784,495.2386502233333,164.0,63.758106051892774,0.02380707623076842,,,VLG8FU,2026-05-23T04:21:24,2026-05-23T04:23:05,LOBAR1R,AGENA1R,MISMA_SID_G1,MISMA_SID_G3,A320,B738,M,M,R,R,False,2026-05-23T04:22:54,2026-05-23T04:22:48,True,True,,5.142460421421825,2785.6298666666653,False,4.936187725573363,2484.709866666665,False,,,5.142460421421825,102.0,,,4.936187725573363,,3.0,5.142460421421825,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITY075,ITY,06R,2026-05-23T04:24:50,DIPES1R,MISMA_SID_G3,A20N,M,R,2026-05-23T04:24:31,2026-05-23T04:27:29,2026-05-23T04:24:36,False,DIPES1R,A20N,2026-05-23T04:24:50,True,2026-05-23T04:24:59.002620251,41.292078185720584,2.10331602365231,597.9434024607293,140.0,62.929688,0.00863084546167778,,,RYR73JP,2026-05-23T04:23:05,2026-05-23T04:24:50,AGENA1R,DIPES1R,MISMA_SID_G3,MISMA_SID_G3,B738,A20N,M,M,R,R,True,2026-05-23T04:24:36,2026-05-23T04:24:31,True,True,,5.372116381008536,3353.7978666666677,False,5.201194386269007,3134.1152000000016,False,,,5.372116381008536,102.0,,,5.201194386269007,,5.0,5.372116381008536,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYR2A,RYR,06R,2026-05-23T04:26:20,DUNES4R,MISMA_SID_G2,B738,M,R,2026-05-23T04:26:03,2026-05-23T04:29:17,2026-05-23T04:26:06,False,DUNES4R,B738,2026-05-23T04:26:20,True,2026-05-23T04:26:27.827412497,41.29204519211486,2.103337778372221,325.9332465835526,158.0,60.820312,0.010775951940316693,,,ITY075,2026-05-23T04:24:50,2026-05-23T04:26:20,DIPES1R,DUNES4R,MISMA_SID_G3,MISMA_SID_G2,A20N,B738,M,M,R,R,False,2026-05-23T04:26:06,2026-05-23T04:26:03,True,True,,4.1474562682958735,2116.5754666666653,False,4.049421543284106,1995.6543999999985,False,,,4.1474562682958735,90.0,,,4.049421543284106,,3.0,4.1474562682958735,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVF32ER,TVF,06R,2026-05-23T04:27:51,OLOXO1R,MISMA_SID_G1,A20N,M,R,2026-05-23T04:27:35,2026-05-23T04:29:53,2026-05-23T04:27:39,False,OLOXO1R,A20N,2026-05-23T04:27:51,True,2026-05-23T04:28:01.667325695,41.29216084709026,2.1033015880363304,674.9967122609553,147.0,59.765625,0.0036439067989575756,,,RYR2A,2026-05-23T04:26:20,2026-05-23T04:27:51,DUNES4R,OLOXO1R,MISMA_SID_G2,MISMA_SID_G1,B738,A20N,M,M,R,R,False,2026-05-23T04:27:39,2026-05-23T04:27:35,True,True,,4.513306353618206,2363.755733333335,False,4.3969451589126844,2163.413333333335,False,,,4.513306353618206,93.0,,,4.3969451589126844,,3.0,4.513306353618206,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLG911N,VLG,06R,2026-05-23T04:29:36,AGENA1R,MISMA_SID_G3,A320,M,R,2026-05-23T04:29:19,2026-05-23T04:32:12,2026-05-23T04:29:24,False,AGENA1R,A320,2026-05-23T04:29:36,True,2026-05-23T04:29:44.828140092,41.29202855559813,2.103344506434966,475.52660720743233,162.0,60.820312,0.011818570127157856,,,TVF32ER,2026-05-23T04:27:51,2026-05-23T04:29:36,OLOXO1R,AGENA1R,MISMA_SID_G1,MISMA_SID_G3,A20N,A320,M,M,R,R,False,2026-05-23T04:29:24,2026-05-23T04:29:19,True,True,,4.8690223307818155,3725.171733333333,False,4.71723026939482,3451.4890666666665,False,,,4.8690223307818155,105.0,,,4.71723026939482,,3.0,4.8690223307818155,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAP1041,TAP,06R,2026-05-23T04:31:02,SENIA1R,MISMA_SID_G2,A320,M,R,2026-05-23T04:30:43,2026-05-23T04:33:56,2026-05-23T04:30:49,False,SENIA1R,A320,2026-05-23T04:31:02,True,2026-05-23T04:31:09.659561758,41.29221710056657,2.1032813917116764,465.9304721512235,160.36175296434678,62.611740808679585,0.0001456950826100426,,,VLG911N,2026-05-23T04:29:36,2026-05-23T04:31:02,AGENA1R,SENIA1R,MISMA_SID_G3,MISMA_SID_G2,A320,A320,M,M,R,R,False,2026-05-23T04:30:49,2026-05-23T04:30:43,True,True,,4.036126933289109,2187.384533333333,False,3.8718638639108205,2108.6416,False,,,4.036126933289109,85.0,,,3.8718638639108205,,3.0,4.036126933289109,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYR2VR,RYR,06R,2026-05-23T04:32:42,LOTOS1R,MISMA_SID_G2,B738,M,R,2026-05-23T04:32:23,2026-05-23T04:35:20,2026-05-23T04:32:29,False,LOTOS1R,B738,2026-05-23T04:32:42,True,2026-05-23T04:32:50,41.29215743409305,2.103327954390079,207.0333333333347,172.0,61.523438,0.004293456137483545,,,TAP1041,2026-05-23T04:31:02,2026-05-23T04:32:42,SENIA1R,LOTOS1R,MISMA_SID_G2,MISMA_SID_G2,A320,B738,M,M,R,R,True,2026-05-23T04:32:29,2026-05-23T04:32:23,True,True,,5.027007391777565,2623.898133333332,False,4.824884528266187,2392.7018666666654,False,,,5.027007391777565,100.0,,,4.824884528266187,,5.0,5.027007391777565,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYR81RY,RYR,06R,2026-05-23T04:34:43,AGENA1R,MISMA_SID_G3,B38M,M,R,2026-05-23T04:34:27,2026-05-23T04:37:28,2026-05-23T04:34:32,False,AGENA1R,B38M,2026-05-23T04:34:43,True,2026-05-23T04:34:53.303983426,41.29193477512121,2.1033642231840584,318.45620992054023,160.8239005571219,63.44155383589915,0.017503469964625117,,,RYR2VR,2026-05-23T04:32:42,2026-05-23T04:34:43,LOTOS1R,AGENA1R,MISMA_SID_G2,MISMA_SID_G3,B738,B38M,M,M,R,R,False,2026-05-23T04:34:32,2026-05-23T04:34:27,True,True,,6.6970794373832785,3562.3210666666664,False,6.508719467211959,3404.310933333333,False,,,6.6970794373832785,123.0,,,6.508719467211959,,3.0,6.6970794373832785,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLM73T,KLM,06R,2026-05-23T04:36:09,OLOXO1R,MISMA_SID_G1,B738,M,R,2026-05-23T04:35:51,2026-05-23T04:39:08,2026-05-23T04:35:53,False,OLOXO1R,B738,2026-05-23T04:36:09,True,2026-05-23T04:36:14.294539372,41.291951019850295,2.103360844425751,258.31747623324213,166.0,63.808594,0.016518321783444066,,,RYR81RY,2026-05-23T04:34:43,2026-05-23T04:36:09,AGENA1R,OLOXO1R,MISMA_SID_G3,MISMA_SID_G1,B38M,B738,M,M,R,R,False,2026-05-23T04:35:53,2026-05-23T04:35:51,True,True,,3.9262221029237483,1860.6250666666667,False,3.866263168879107,1781.5711999999999,False,,,3.9262221029237483,81.0,,,3.866263168879107,,3.0,3.9262221029237483,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR32SN,AFR,06R,2026-05-23T04:37:54,OLOXO1R,MISMA_SID_G1,A320,M,R,2026-05-23T04:37:38,2026-05-23T04:41:00,2026-05-23T04:37:42,False,OLOXO1R,A320,2026-05-23T04:37:54,True,2026-05-23T04:38:03,41.29212808703899,2.1033132186180112,468.9112,160.0,58.710938,0.005679606177130556,,,KLM73T,2026-05-23T04:36:09,2026-05-23T04:37:54,OLOXO1R,OLOXO1R,MISMA_SID_G1,MISMA_SID_G1,B738,A320,M,M,R,R,True,2026-05-23T04:37:42,2026-05-23T04:37:38,True,True,,5.605311643410429,2801.5232000000015,False,5.487965126447579,2652.8288000000016,False,,,5.605311643410429,109.0,,,5.487965126447579,,5.0,5.605311643410429,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLG8SJ,VLG,06R,2026-05-23T04:40:15,GRAUS1R,MISMA_SID_G1,A320,M,R,2026-05-23T04:39:58,2026-05-23T04:42:48,2026-05-23T04:40:02,False,GRAUS1R,A320,2026-05-23T04:40:15,True,2026-05-23T04:40:22.816880895,41.29204650693804,2.103339099677701,376.35809243977684,169.0,60.117188,0.010713861944627817,,,AFR32SN,2026-05-23T04:37:54,2026-05-23T04:40:15,OLOXO1R,GRAUS1R,MISMA_SID_G1,MISMA_SID_G1,A320,A320,M,M,R,R,True,2026-05-23T04:40:02,2026-05-23T04:39:58,True,True,,6.6919549946095955,3988.3562666666667,False,6.5655263301262865,3893.3344,False,,,6.6919549946095955,140.0,,,6.5655263301262865,,5.0,6.6919549946095955,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EJU73YK,EJU,06R,2026-05-23T04:45:17,NATPI2R,MISMA_SID_G1,A319,M,R,2026-05-23T04:44:58,2026-05-23T04:47:39,2026-05-23T04:45:01,False,NATPI2R,A319,2026-05-23T04:45:17,True,2026-05-23T04:45:23.264422951,41.29218485794831,2.1032929651600534,409.73667236728386,158.0,60.644531,0.0021507250576247652,,,VLG8SJ,2026-05-23T04:40:15,2026-05-23T04:45:17,GRAUS1R,NATPI2R,MISMA_SID_G1,MISMA_SID_G1,A320,A319,M,M,R,R,True,,,False,False,TWR no computable: precedente sin posicion en la primera deteccion del siguiente; TMA no computable: sin solape temporal dentro del filtro,,,False,,,,,,,299.0,,,,,5.0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPS242,UPS,06R,2026-05-23T04:49:19,LOTOS3R,MISMA_SID_G2,B763,H,R,2026-05-23T04:49:02,2026-05-23T04:51:03,2026-05-23T04:49:06,False,LOTOS3R,B763,2026-05-23T04:49:19,True,2026-05-23T04:49:28.680528073,41.29169223499127,2.103393751259657,1245.55170414777,143.63894385350147,69.32360020527989,0.03206314474872275,,,EJU73YK,2026-05-23T04:45:17,2026-05-23T04:49:19,NATPI2R,LOTOS3R,MISMA_SID_G1,MISMA_SID_G2,A319,B763,M,H,R,R,False,,,False,False,TWR no computable: precedente sin posicion en la primera deteccion del siguiente; TMA no computable: sin solape temporal dentro del filtro,,,False,,,,,,,245.0,,,,,3.0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLG365N,VLG,06R,2026-05-23T04:51:50,DALIN4R,MISMA_SID_G3,A320,M,R,2026-05-23T04:51:29,2026-05-23T04:54:23,2026-05-23T04:51:36,False,DALIN4R,A320,2026-05-23T04:51:50,True,2026-05-23T04:51:56.469018227,41.292110477594214,2.1033147496645683,372.70667884832005,164.12392709089818,62.13322549300871,0.006721809889945608,,,UPS242,2026-05-23T04:49:19,2026-05-23T04:51:50,LOTOS3R,DALIN4R,MISMA_SID_G2,MISMA_SID_G3,B763,A320,H,M,R,R,False,,,False,False,TWR no computable: precedente sin posicion en la primera deteccion del siguiente; TMA no computable: sin solape temporal dentro del filtro,,,False,,,,,,,150.0,,5.0,,,3.0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLG3YR,VLG,24L,2026-05-23T05:00:28,DIPES1C,MISMA_SID_G3,A320,M,R,2026-05-23T05:00:12,2026-05-23T05:03:11,2026-05-23T05:00:15,True,DIPES1C,A320,2026-05-23T05:00:28,True,2026-05-23T05:00:36.733593597,41.28214298402671,2.0744113727440854,370.0486965182866,154.59843841543648,-111.84370418385063,0.010467334767203053,False,2026-05-23T05:00:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIPES1C,A320,2026-05-23T05:00:28,2026-05-23T05:00:45,41.27910091643287,2.0669739636072144,31282.05632960702,18229.595983765863,650.62,160.0,0.176,-124.453125,-115.312,1.817545210918871,roll+hdg,False,,,DIPES1C,A320,M,2026-05-23T05:00:28,162.74549789015515,800.0,223.0,3000.0,60.25450210984485,NADP2,30.0,2026-05-23T05:00:48.915165963,2026-05-23T05:02:06.162661764
VLG1265,VLG,24L,2026-05-23T05:06:21,OLOXO1C,MISMA_SID_G1,A320,M,R,2026-05-23T05:06:04,2026-05-23T05:08:59,2026-05-23T05:06:06,False,OLOXO1C,A320,2026-05-23T05:06:21,True,2026-05-23T05:06:27.523822505,41.28222887840248,2.0743781334877265,315.8118888623072,163.9047099799444,-112.24051604375384,0.005097848178469433,False,2026-05-23T05:06:37,VLG3YR,2026-05-23T05:00:28,2026-05-23T05:06:21,DIPES1C,OLOXO1C,MISMA_SID_G3,MISMA_SID_G1,A320,A320,M,M,R,R,False,,,False,False,TWR no computable: precedente sin posicion en la primera deteccion del siguiente; TMA no computable: sin solape temporal dentro del filtro,,,False,,,,,,,351.0,,,,,3.0,,False,OLOXO1C,A320,2026-05-23T05:06:21,2026-05-23T05:06:37,41.278931705997124,2.065452195420653,31155.013649294306,18210.24122351163,701.4728,161.0,-16.172,-118.125,-120.41,1.8839371541939627,roll,False,,,OLOXO1C,A320,M,2026-05-23T05:06:21,161.58147399095338,800.0,218.0,3000.0,56.418526009046616,NADP2,30.0,2026-05-23T05:06:39.290736995,2026-05-23T05:07:56.499875
